# water and pfoah on sio2 slab

374 atoms
5   atom types

Masses

1 1.0078       ! H of water
2 15.9994      ! O of water
3 12.011       ! C of pfoa
4 18.998403    ! F of pfoa
5 15.9994      ! O of pfoa

Atoms

1      1      0      7.04    3.913   28.305 
2      1      0      8.351   2.998   27.973 
3      2      0      7.359   3.067   27.877 
4      1      0      18.25   9.858   30.771 
5      1      0      17.904  8.438   31.5   
6      2      0      17.827  8.96    30.651 
7      1      0      13.457  10.377  11.904 
8      1      0      12.207  11.348  11.5   
9      2      0      12.502  10.399  11.607 
10     1      0      12.704  7.174   28.731 
11     1      0      12.342  5.813   27.904 
12     2      0      12.269  6.81    27.907 
13     1      0      0.302   0.624   14.28  
14     1      0      1.577   0.0     13.473 
15     2      0      1.14    0.845   13.781 
16     1      0      17.068  9.179   27.407 
17     1      0      18.083  10.387  27.825 
18     2      0      18.023  9.422   27.572 
19     1      0      12.44   9.359   29.097 
20     1      0      13.534  8.796   30.171 
21     2      0      13.226  9.602   29.666 
22     1      0      12.113  5.299   17.868 
23     1      0      12.433  4.556   16.45  
24     2      0      11.769  4.648   17.191 
25     1      0      5.545   11.15   26.567 
26     1      0      6.597   12.396  26.638 
27     2      0      5.797   11.979  27.067 
28     1      0      15.379  3.58    22.705 
29     1      0      16.016  4.373   23.983 
30     2      0      16.002  4.312   22.985 
31     1      0      4.629   8.809   25.811 
32     1      0      4.82    9.961   24.67  
33     2      0      5.287   9.259   25.207 
34     1      0      14.813  3.718   13.167 
35     1      0      14.249  3.066   14.554 
36     2      0      13.99   3.502   13.692 
37     1      0      12.068  8.113   13.942 
38     1      0      12.516  6.604   14.377 
39     2      0      12.347  7.214   13.604 
40     1      0      15.284  11.98   21.322 
41     1      0      15.312  10.43   21.834 
42     2      0      15.8    11.302  21.846 
43     1      0      0.726   1.5     26.392 
44     1      0      0.477   0.0     25.796 
45     2      0      0.595   0.964   25.558 
46     1      0      13.366  0.788   30.026 
47     1      0      11.907  0.694   29.299 
