# water and pfoah on sio2 slab

374 atoms
5   atom types

Masses

1 1.0078       ! H of water
2 15.9994      ! O of water
3 12.011       ! C of pfoa
4 15.9994      ! O of pfoa
5 18.998403    ! F of pfoa

Atoms

1      1      0      14.214  10.774  13.903 
2      1      0      14.314  11.555  15.334 
3      2      0      14.524  11.609  14.358 
4      1      0      0.021   0.043   12.56  
5      1      0      0.434   0.897   13.889 
6      2      0      0.151   0.0     13.551 
7      1      0      6.346   6.644   20.297 
8      1      0      5.382   7.873   19.823 
9      2      0      5.497   7.137   20.488 
10     1      0      4.789   4.07    20.289 
11     1      0      4.511   2.571   20.873 
12     2      0      4.691   3.105   20.047 
13     1      0      5.614   7.545   14.647 
14     1      0      6.506   8.029   15.927 
15     2      0      6.23    8.253   14.993 
16     1      0      14.014  9.191   15.989 
17     1      0      13.415  8.396   17.284 
18     2      0      14.242  8.594   16.758 
19     1      0      17.556  12.18   19.449 
20     1      0      17.116  10.801  18.692 
21     2      0      17.889  11.382  18.946 
22     1      0      7.548   2.106   16.027 
23     1      0      6.038   2.711   15.887 
24     2      0      6.575   1.877   16.005 
25     1      0      4.717   9.747   31.074 
26     1      0      6.343   9.833   30.943 
27     2      0      5.547   9.237   30.846 
28     1      0      3.867   0.013   20.51  
29     1      0      3.287   0.741   21.852 
30     2      0      3.141   0.0     21.197 
31     1      0      6.974   12.519  25.242 
32     1      0      8.578   12.214  25.226 
33     2      0      7.884   12.933  25.236 
34     1      0      2.016   3.979   16.213 
35     1      0      2.944   4.252   14.898 
36     2      0      2.245   4.639   15.498 
37     1      0      13.034  8.125   19.44  
38     1      0      11.501  8.324   18.915 
39     2      0      12.254  7.673   19.007 
40     1      0      10.514  11.079  27.078 
41     1      0      11.009  10.927  25.529 
42     2      0      10.289  10.694  26.182 
43     1      0      18.017  11.935  23.933 
44     1      0      18.737  10.471  23.865 
45     2      0      17.86   10.947  23.906 
46     1      0      13.841  0.002   21.588 
47     1      0      14.608  1.44    21.484 
