# water and pfoah on sio2 slab

7124 atoms
6    atom types

Masses

1 1.0078       ! H of water
2 15.9994      ! O of water
3 12.011       ! C of pfoa
4 18.998403    ! F of pfoa
5 15.9994      ! O of pfoa
6 1.0078       ! H of pfoa

Atoms

1      1      0      8.856   3.354   40.471 
2      1      0      9.267   4.63    39.54  
3      2      0      9.618   3.901   40.126 
4      1      0      36.336  10.649  40.006 
5      1      0      37.534  9.938   40.858 
6      2      0      37.303  10.395  39.999 
7      1      0      5.144   30.986  49.392 
8      1      0      3.687   31.44   48.81  
9      2      0      4.275   30.659  49.02  
10     1      0      27.237  35.999  12.195 
11     1      0      27.916  36.503  10.798 
12     2      0      27.525  36.799  11.669 
13     1      0      15.572  24.467  35.916 
14     1      0      14.098  25.108  35.628 
15     2      0      15.079  25.296  35.651 
16     1      0      11.01   30.936  12.762 
17     1      0      10.156  29.97   13.765 
18     2      0      10.308  30.914  13.474 
19     1      0      18.546  39.911  43.915 
20     1      0      17.478  41.129  43.703 
21     2      0      18.446  40.9    43.801 
22     1      0      1.198   23.27   25.748 
23     1      0      0.666   24.116  27.04  
24     2      0      1.267   24.137  26.242 
25     1      0      14.027  34.483  30.525 
26     1      0      12.525  34.048  30.052 
27     2      0      13.142  34.82   30.203 
28     1      0      37.042  4.503   35.892 
29     1      0      37.072  5.821   36.856 
30     2      0      36.488  5.116   36.455 
31     1      0      5.695   22.789  40.943 
32     1      0      6.261   24.241  40.457 
33     2      0      5.449   23.662  40.522 
34     1      0      5.572   29.686  41.467 
35     1      0      4.755   31.092  41.612 
36     2      0      4.68    30.126  41.367 
37     1      0      2.555   40.708  27.296 
38     1      0      4.145   40.915  26.985 
39     2      0      3.425   40.239  27.143 
40     1      0      1.269   4.113   21.136 
41     1      0      0.977   2.59    20.626 
42     2      0      1.54    3.404   20.485 
43     1      0      5.599   14.663  10.0   
44     1      0      5.372   14.783  11.613 
45     2      0      5.111   14.284  10.787 
46     1      0      19.15   36.879  47.548 
