# water and pfoah on sio2 slab

1996 atoms
8    atom types

Masses

1 1.0078       ! H of water
2 15.9994      ! O of water
3 12.011       ! C of pfoa
4 18.998403    ! F of pfoa
5 15.9994      ! O of pfoa
6 1.0078       ! H of pfoa
7 22.989769    ! Na of ion
8 35.453       ! Cl of ion

Atoms

1         1          0.2528    18.3860    13.6410    24.4570  
2         1          0.2528    19.6640    12.6630    24.7340  
3         2         -0.4105    18.6730    12.6950    24.6100  
4         1          0.2528    5.5100     6.8490     11.3860  
5         1          0.2528    5.2090     5.9280     12.7010  
6         2         -0.4105    5.5740     6.8030     12.3840  
7         1          0.2528    15.9870    11.1820    31.7180  
8         1          0.2528    17.6190    11.2450    31.7110  
9         2         -0.4105    16.7830    11.7770    31.8360  
10        1          0.2528    19.6640    8.8560     35.6680  
11        1          0.2528    18.1650    9.4970     35.5930  
12        2         -0.4105    18.6870    8.6560     35.7330  
13        1          0.2528    10.4120    15.4000    17.2860  
14        1          0.2528    9.0090     14.9150    16.6040  
15        2         -0.4105    9.4160     15.4010    17.3770  
16        1          0.2528    9.1140     9.3910     32.6250  
17        1          0.2528    9.3390     10.8550    33.3140  
18        2         -0.4105    9.5190     9.8750     33.4010  
19        1          0.2528    10.7190    1.2490     44.8080  
20        1          0.2528    9.3950     1.0070     45.7330  
21        2         -0.4105    10.3660    1.2460     45.7440  
22        1          0.2528    0.8300     -0.0000    28.5350  
23        1          0.2528    2.3520     -0.0000    29.1250  
24        2         -0.4105    1.5950     0.5770     28.8210  
25        1          0.2528    12.8610    11.4470    45.6540  
26        1          0.2528    12.4070    13.0070    45.8130  
27        2         -0.4105    12.6490    12.2910    45.1600  
28        1          0.2528    9.8770     21.4350    38.2890  
29        1          0.2528    9.8480     20.2380    39.4000  
30        2         -0.4105    10.4030    20.9650    38.9980  
31        1          0.2528    18.5990    4.5520     12.0120  
32        1          0.2528    19.2440    5.9920     12.4320  
33        2         -0.4105    18.3940    5.5060     12.2340  
