# water and pfoah on sio2 slab

374 atoms
5   atom types

Masses

1 1.0078       | H of water
2 15.9994      | O of water
3 12.011       | C of pfoah
4 15.9994      | O of pfoah
5 18.998403    | F of pfoah

Atoms

1      1      0      4.956   1.03    20.745 
2      1      0      3.741   0.0     20.384 
3      2      0      4.016   0.961   20.411 
4      1      0      10.93   8.053   24.467 
5      1      0      11.249  7.153   25.791 
6      2      0      10.75   7.947   25.445 
7      1      0      14.265  4.66    19.226 
8      1      0      15.232  3.346   19.154 
9      2      0      15.212  4.34    19.258 
10     1      0      11.544  2.09    25.75  
11     1      0      13.098  1.601   25.854 
12     2      0      12.49   2.393   25.866 
13     1      0      15.561  12.933  19.869 
14     1      0      16.438  11.592  20.185 
15     2      0      16.485  12.574  20.007 
16     1      0      15.999  4.465   23.308 
17     1      0      15.628  4.502   21.718 
18     2      0      15.805  3.906   22.501 
19     1      0      8.92    0.0     26.577 
20     1      0      7.542   0.47    25.837 
21     2      0      8.512   0.677   25.965 
22     1      0      13.957  7.869   15.114 
23     1      0      14.425  9.395   14.767 
24     2      0      14.74   8.458   14.911 
25     1      0      14.157  1.442   18.899 
26     1      0      13.148  2.283   19.87  
27     2      0      13.209  1.73    19.04  
28     1      0      10.638  3.834   24.76  
29     1      0      10.502  5.152   23.805 
30     2      0      10.006  4.39    24.219 
31     1      0      8.344   10.667  31.113 
32     1      0      8.455   12.287  30.938 
33     2      0      8.726   11.506  31.5   
34     1      0      16.368  6.484   28.057 
35     1      0      15.885  7.923   28.658 
36     2      0      16.06   7.406   27.821 
37     1      0      12.333  8.066   31.348 
38     1      0      12.501  9.684   31.5   
39     2      0      12.991  8.817   31.412 
40     1      0      10.95   5.703   27.594 
41     1      0      10.255  4.393   26.911 
42     2      0      10.223  5.023   27.686 
43     1      0      10.756  3.032   31.482 
44     1      0      12.015  4.073   31.5   
45     2      0      11.277  3.693   30.942 
46     1      0      14.381  9.103   25.811 
47     1      0      15.991  9.155   25.539 
48     2      0      15.089  9.285   25.128 
49     1      0      8.174   6.627   24.771 
50     1      0      8.855   5.844   26.032 
51     2      0      8.404   6.688   25.742 
52     1      0      4.559   3.317   27.055 
53     1      0      3.945   4.787   27.416 
54     2      0      4.463   4.009   27.771 
55     1      0      7.349   7.27    28.568 
56     1      0      5.746   7.092   28.82  
57     2      0      6.602   6.609   28.64  
58     1      0      17.142  6.965   31.5   
59     1      0      17.649  8.015   30.357 
60     2      0      16.857  7.688   30.871 
61     1      0      14.375  6.179   20.899 
62     1      0      13.557  7.337   21.709 
63     2      0      13.571  6.774   20.884 
64     1      0      15.318  10.444  31.5   
65     1      0      15.857  9.545   30.247 
66     2      0      15.309  9.535   31.083 
67     1      0      9.313   1.995   11.5   
68     1      0      9.692   3.521   11.943 
69     2      0      10.036  2.686   11.515 
70     1      0      13.507  4.179   21.234 
